bin,trades,win_rate,net,avg,pf,min,max
"(-52.028, -7.818]",551,0.7313974591651543,3090.0,5.607985480943738,1.2041625371655105,-52.027376548790926,-7.838212672470036
"(-7.818, -1.324]",551,0.764065335753176,4460.0,8.09437386569873,1.4176029962546817,-7.80399195422433,-1.3257567693490273
"(-1.324, 4.179]",550,0.7454545454545455,2290.0,4.163636363636364,1.205935251798561,-1.3154526917251133,4.1586612373221215
"(4.179, 10.685]",551,0.7186932849364791,1525.0,2.767695099818512,1.1191871824931614,4.184125373977622,10.67072651735998
"(10.685, 50.842]",551,0.7313974591651543,3000.0,5.44464609800363,1.2006688963210703,10.706267051898067,50.84181793167045
