bin,trades,win_rate,net,avg,pf,min,max
"(0.999, 1.384]",551,0.7259528130671506,1480.0,2.686025408348457,1.1273118279569891,1.000270343336037,1.3839080459770117
"(1.384, 1.66]",551,0.7368421052631579,2165.0,3.9292196007259528,1.1754457050243112,1.3842592592592593,1.6602809706257982
"(1.66, 1.955]",550,0.7418181818181818,3390.0,6.163636363636364,1.2805130326851468,1.6608996539792387,1.9551122194513715
"(1.955, 2.388]",551,0.7531760435571688,4085.0,7.413793103448276,1.3164213787761425,1.9552042160737813,2.3871345029239768
"(2.388, 10.576]",551,0.7332123411978222,3245.0,5.8892921960072595,1.2064249363867685,2.3885287762718526,10.575972490866107
