bin,trades,win_rate,net,avg,pf,min,max
"(-31.001, 5.5]",594,0.7053872053872053,740.0,1.245791245791246,1.0584980237154151,-31.0,5.5
"(5.5, 8.5]",557,0.7414721723518851,2800.0,5.026929982046679,1.2480070859167405,6.0,8.5
"(8.5, 11.5]",515,0.7398058252427184,2075.0,4.029126213592233,1.1718426501035197,9.0,11.5
"(11.5, 16.5]",552,0.7427536231884058,3070.0,5.561594202898551,1.2226250906453953,12.0,16.5
"(16.5, 60.5]",528,0.7632575757575758,5430.0,10.284090909090908,1.3663967611336032,17.0,60.5
