entry_hour,trades,win_rate,net,avg,pf
12,388,0.7422680412371134,2715.0,6.997422680412371,1.2906852248394005
14,218,0.7339449541284404,1435.0,6.58256880733945,1.2493483927019982
11,710,0.7450704225352113,4115.0,5.795774647887324,1.2525314513654495
10,1182,0.7377326565143824,5720.0,4.8392554991539765,1.222351797862002
13,248,0.7217741935483871,465.0,1.875,1.0642709053213546
15,10,0.6,-140.0,-14.0,0.6853932584269663
