weekday,trades,win_rate,net,avg,pf
Monday,498,0.7630522088353414,3485.0,6.997991967871486,1.32707648991084
Friday,553,0.7414104882459313,3560.0,6.437613019891501,1.2706195362979855
Tuesday,553,0.7522603978300181,3530.0,6.383363471971067,1.3027444253859348
Thursday,575,0.7321739130434782,3100.0,5.391304347826087,1.2107409925220938
Wednesday,577,0.7053726169844021,635.0,1.10051993067591,1.0434485118029422
