trade_seq_day,trades,win_rate,net,avg,pf
3,434,0.7442396313364056,3015.0,6.947004608294931,1.2937165124208476
1,1176,0.7482993197278912,7160.0,6.08843537414966,1.2808944684189878
2,847,0.731995277449823,3930.0,4.639905548996458,1.1930729550478998
6,12,0.75,55.0,4.583333333333333,1.164179104477612
5,79,0.6962025316455697,320.0,4.050632911392405,1.148491879350348
4,208,0.7067307692307693,-170.0,-0.8173076923076923,0.9725585149313963
