bin,trades,win_rate,net,avg,pf,min,max
"(-27.001, 7.0]",584,0.7071917808219178,965.0,1.6523972602739727,1.0778853914447135,-27.0,7.0
"(7.0, 11.0]",578,0.7301038062283737,985.0,1.7041522491349481,1.0744801512287334,7.5,11.0
"(11.0, 14.5]",497,0.7525150905432596,3460.0,6.961770623742455,1.3232134516581038,11.5,14.5
"(14.5, 20.7]",536,0.7388059701492538,2945.0,5.494402985074627,1.2210131332082552,15.0,20.5
"(20.7, 114.5]",549,0.7650273224043715,5800.0,10.564663023679417,1.3890006706908116,21.0,114.5
