session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2026-03-18,2026-03-18 10:00:00,2026-03-18 10:20:00,2026-03-18 10:21:00,long,5236.5,5239.5,5228.0,5239.5,3.0,30.0,limit_touch,take_profit
2026-03-19,2026-03-19 10:12:00,2026-03-19 10:16:00,2026-03-19 10:19:00,long,5311.5,5297.5,5297.5,5316.5,-14.0,-140.0,limit_touch,stop_loss
2026-03-19,2026-03-19 12:17:00,2026-03-19 12:27:00,2026-03-19 12:56:00,short,5268.0,5262.5,5283.0,5262.5,5.5,55.0,limit_touch,take_profit
2026-03-20,2026-03-20 10:35:00,2026-03-20 10:43:00,2026-03-20 10:49:00,long,5283.0,5287.5,5270.5,5287.5,4.5,45.0,limit_touch,take_profit
2026-03-20,2026-03-20 11:20:00,2026-03-20 12:00:00,2026-03-20 12:02:00,long,5304.5,5309.0,5291.0,5309.0,4.5,45.0,limit_touch,take_profit
