number,value,datetime_start,datetime_complete,duration,params_ATR_Length,params_AllowFriday,params_AllowMonday,params_AllowThursday,params_AllowTuesday,params_AllowWednesday,params_EntryStart_TotalMinutes,params_FilterAsPercOfContractMARange,params_LastEntry_TotalMinutes,params_MinutesBeforeMarketCloseToClosePositions,params_NumDaysToConsiderPreviousContractMARange,params_RetracementLevel,params_SL_ATRMultiplier,params_TP_ATRMultiplier,user_attrs_train_metrics,state
27,1082.146154,2026-03-26 01:58:28.615310,2026-03-26 01:58:32.607424,0 days 00:00:03.992114,35,True,True,True,True,True,855,0.15,555,15,5,0.35,0.55,0.9,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 2520, 'win_rate': 0.4143, 'net_profit_brl': 15950.0, 'avg_profit_brl': 6.33, 'avg_win_brl': 99.57, 'avg_loss_brl': -60.65, 'profit_factor': 1.1812, 'max_drawdown_pct': 14.74, 'expected_payoff': 6.33, 'on_tester_value': 1082.146154}",COMPLETE
28,-6.885955,2026-03-26 01:58:32.607491,2026-03-26 01:58:35.856154,0 days 00:00:03.248663,33,True,False,True,False,True,900,0.45000000000000007,740,8,8,0.36,1.2000000000000002,0.55,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 108, 'win_rate': 0.6852, 'net_profit_brl': -85.0, 'avg_profit_brl': -0.79, 'avg_win_brl': 67.7, 'avg_loss_brl': -149.85, 'profit_factor': 0.9833, 'max_drawdown_pct': 12.34, 'expected_payoff': -0.79, 'on_tester_value': -6.885955}",COMPLETE
29,313.94012,2026-03-26 01:58:35.856219,2026-03-26 01:58:39.037015,0 days 00:00:03.180796,38,False,True,True,True,True,850,0.35,740,6,8,0.22,0.9,0.5,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 252, 'win_rate': 0.7063, 'net_profit_brl': 2550.0, 'avg_profit_brl': 10.12, 'avg_win_brl': 59.19, 'avg_loss_brl': -107.91, 'profit_factor': 1.3193, 'max_drawdown_pct': 8.12, 'expected_payoff': 10.12, 'on_tester_value': 313.94012}",COMPLETE
30,568.914286,2026-03-26 01:58:39.037092,2026-03-26 01:58:42.066008,0 days 00:00:03.028916,13,False,True,True,True,False,725,0.30000000000000004,825,2,6,0.36,0.75,0.15000000000000002,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 74, 'win_rate': 0.973, 'net_profit_brl': 1140.0, 'avg_profit_brl': 15.41, 'avg_win_brl': 18.75, 'avg_loss_brl': -105.0, 'profit_factor': 6.4286, 'max_drawdown_pct': 2.0, 'expected_payoff': 15.41, 'on_tester_value': 568.914286}",COMPLETE
31,246.602985,2026-03-26 01:58:42.066084,2026-03-26 01:58:44.909960,0 days 00:00:02.843876,16,True,True,False,True,True,595,0.4,590,6,4,0.2,0.6,0.5,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 48, 'win_rate': 0.6667, 'net_profit_brl': 760.0, 'avg_profit_brl': 15.83, 'avg_win_brl': 56.56, 'avg_loss_brl': -65.62, 'profit_factor': 1.7238, 'max_drawdown_pct': 3.08, 'expected_payoff': 15.83, 'on_tester_value': 246.602985}",COMPLETE
32,98.612676,2026-03-26 01:58:44.910006,2026-03-26 01:58:47.984624,0 days 00:00:03.074618,21,False,False,True,True,False,720,0.15,790,7,7,0.29000000000000004,1.0,0.65,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 74, 'win_rate': 0.6622, 'net_profit_brl': 1005.0, 'avg_profit_brl': 13.58, 'avg_win_brl': 78.57, 'avg_loss_brl': -113.8, 'profit_factor': 1.3533, 'max_drawdown_pct': 10.19, 'expected_payoff': 13.58, 'on_tester_value': 98.612676}",COMPLETE
33,2017.122772,2026-03-26 01:58:47.984697,2026-03-26 01:58:51.026241,0 days 00:00:03.041544,13,False,False,False,False,True,810,0.25,550,14,7,0.37,0.7,0.4,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 476, 'win_rate': 0.7752, 'net_profit_brl': 7245.0, 'avg_profit_brl': 15.22, 'avg_win_brl': 42.98, 'avg_loss_brl': -81.27, 'profit_factor': 1.841, 'max_drawdown_pct': 3.59, 'expected_payoff': 15.22, 'on_tester_value': 2017.122772}",COMPLETE
34,630.40303,2026-03-26 01:58:51.026334,2026-03-26 01:58:54.184696,0 days 00:00:03.158362,17,True,False,False,True,False,755,0.45000000000000007,785,2,5,0.12000000000000001,1.5,0.65,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 76, 'win_rate': 0.8158, 'net_profit_brl': 2630.0, 'avg_profit_brl': 34.61, 'avg_win_brl': 78.06, 'avg_loss_brl': -157.86, 'profit_factor': 2.19, 'max_drawdown_pct': 4.17, 'expected_payoff': 34.61, 'on_tester_value': 630.40303}",COMPLETE
35,926.236735,2026-03-26 01:58:54.184757,2026-03-26 01:58:56.942012,0 days 00:00:02.757255,15,True,False,False,False,False,595,0.2,625,11,4,0.18,1.35,0.30000000000000004,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 180, 'win_rate': 0.9333, 'net_profit_brl': 4160.0, 'avg_profit_brl': 23.11, 'avg_win_brl': 35.77, 'avg_loss_brl': -154.17, 'profit_factor': 3.2486, 'max_drawdown_pct': 4.49, 'expected_payoff': 23.11, 'on_tester_value': 926.236735}",COMPLETE
36,323.329825,2026-03-26 01:58:56.942081,2026-03-26 01:58:59.600124,0 days 00:00:02.658043,11,True,False,True,False,True,875,0.35,740,6,4,0.33,1.0,0.6,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 119, 'win_rate': 0.6975, 'net_profit_brl': 1720.0, 'avg_profit_brl': 14.45, 'avg_win_brl': 75.66, 'avg_loss_brl': -126.67, 'profit_factor': 1.3772, 'max_drawdown_pct': 5.32, 'expected_payoff': 14.45, 'on_tester_value': 323.329825}",COMPLETE
37,1510.851832,2026-03-26 01:58:59.600172,2026-03-26 01:59:02.261184,0 days 00:00:02.661012,27,True,False,False,False,True,550,0.5,860,1,6,0.19,0.5,0.45000000000000007,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 927, 'win_rate': 0.6386, 'net_profit_brl': 12130.0, 'avg_profit_brl': 13.09, 'avg_win_brl': 52.62, 'avg_loss_brl': -60.38, 'profit_factor': 1.6377, 'max_drawdown_pct': 8.03, 'expected_payoff': 13.09, 'on_tester_value': 1510.851832}",COMPLETE
