session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2021-03-31,2021-03-31 12:00:00,2021-03-31 12:04:00,2021-03-31 12:07:00,short,5662.0,5656.0,5673.0,5656.0,6.0,60.0,limit_touch,take_profit
2021-04-01,2021-04-01 14:23:00,2021-04-01 14:33:00,2021-04-01 14:33:00,long,5710.5,5716.0,5700.5,5716.0,5.5,55.0,limit_touch,take_profit
2021-04-05,2021-04-05 11:17:00,2021-04-05 11:18:00,2021-04-05 11:24:00,short,5649.0,5659.0,5659.0,5643.5,-10.0,-100.0,limit_touch,stop_loss
2021-04-06,2021-04-06 11:21:00,2021-04-06 11:22:00,2021-04-06 11:22:00,short,5634.0,5629.5,5642.5,5629.5,4.5,45.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:27:00,2021-04-06 11:28:00,2021-04-06 11:34:00,short,5631.0,5626.5,5640.0,5626.5,4.5,45.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:58:00,2021-04-06 12:01:00,2021-04-06 12:11:00,short,5626.5,5622.0,5635.5,5622.0,4.5,45.0,limit_touch,take_profit
2021-04-06,2021-04-06 12:20:00,2021-04-06 12:24:00,2021-04-06 12:30:00,short,5625.5,5621.0,5634.0,5621.0,4.5,45.0,limit_touch,take_profit
2021-04-06,2021-04-06 13:29:00,2021-04-06 13:48:00,2021-04-06 14:01:00,short,5614.5,5623.0,5623.0,5610.0,-8.5,-85.0,limit_touch,stop_loss
2021-04-07,2021-04-07 11:31:00,2021-04-07 11:32:00,2021-04-07 11:33:00,short,5566.5,5561.5,5576.0,5561.5,5.0,50.0,limit_touch,take_profit
2021-04-07,2021-04-07 11:42:00,2021-04-07 11:47:00,2021-04-07 11:57:00,short,5564.5,5574.0,5574.0,5559.5,-9.5,-95.0,limit_touch,stop_loss
2021-04-07,2021-04-07 12:44:00,2021-04-07 12:46:00,2021-04-07 13:06:00,long,5616.5,5622.0,5606.5,5622.0,5.5,55.0,limit_touch,take_profit
2021-04-07,2021-04-07 13:24:00,2021-04-07 13:45:00,2021-04-07 13:55:00,long,5629.5,5619.0,5619.0,5635.0,-10.5,-105.0,limit_touch,stop_loss
2021-04-08,2021-04-08 11:19:00,2021-04-08 11:19:00,2021-04-08 11:30:00,long,5618.5,5607.5,5607.5,5624.5,-11.0,-110.0,limit_touch,stop_loss
2021-04-08,2021-04-08 12:55:00,2021-04-08 12:55:00,2021-04-08 12:55:00,short,5580.0,5574.0,5590.5,5574.0,6.0,60.0,limit_touch,take_profit
2021-04-08,2021-04-08 13:16:00,2021-04-08 13:18:00,2021-04-08 13:29:00,short,5579.5,5574.0,5590.0,5574.0,5.5,55.0,limit_touch,take_profit
2021-04-08,2021-04-08 13:31:00,2021-04-08 13:31:00,2021-04-08 13:37:00,short,5573.5,5568.0,5584.0,5568.0,5.5,55.0,limit_touch,take_profit
2021-04-08,2021-04-08 13:55:00,2021-04-08 14:08:00,2021-04-08 14:11:00,short,5559.0,5553.0,5569.5,5553.0,6.0,60.0,limit_touch,take_profit
2021-04-09,2021-04-09 12:45:00,2021-04-09 12:47:00,2021-04-09 12:51:00,long,5669.0,5659.5,5659.5,5674.0,-9.5,-95.0,limit_touch,stop_loss
2021-04-12,2021-04-12 12:09:00,2021-04-12 12:09:00,2021-04-12 12:10:00,long,5679.5,5684.0,5670.5,5684.0,4.5,45.0,limit_touch,take_profit
2021-04-12,2021-04-12 12:18:00,2021-04-12 12:29:00,2021-04-12 12:34:00,long,5698.5,5703.5,5689.5,5703.5,5.0,50.0,limit_touch,take_profit
2021-04-12,2021-04-12 12:36:00,2021-04-12 12:40:00,2021-04-12 12:40:00,long,5699.5,5704.5,5690.5,5704.5,5.0,50.0,limit_touch,take_profit
2021-04-12,2021-04-12 13:30:00,2021-04-12 13:41:00,2021-04-12 13:52:00,long,5703.5,5695.0,5695.0,5708.0,-8.5,-85.0,limit_touch,stop_loss
2021-04-13,2021-04-13 12:43:00,2021-04-13 12:45:00,2021-04-13 12:52:00,short,5703.0,5697.0,5714.0,5697.0,6.0,60.0,limit_touch,take_profit
2021-04-13,2021-04-13 12:59:00,2021-04-13 13:09:00,2021-04-13 13:27:00,short,5703.0,5714.0,5714.0,5697.0,-11.0,-110.0,limit_touch,stop_loss
2021-04-13,2021-04-13 14:20:00,2021-04-13 14:29:00,2021-04-13 14:35:00,short,5682.0,5676.0,5693.0,5676.0,6.0,60.0,limit_touch,take_profit
2021-04-14,2021-04-14 11:20:00,2021-04-14 11:22:00,2021-04-14 12:03:00,short,5685.0,5696.0,5696.0,5679.0,-11.0,-110.0,limit_touch,stop_loss
2021-04-14,2021-04-14 13:20:00,2021-04-14 13:28:00,2021-04-14 13:33:00,short,5680.0,5674.5,5690.0,5674.5,5.5,55.0,limit_touch,take_profit
