session_date,trades,pnl_brl,cumulative_pnl_brl,equity_brl
2021-06-23,2,80.0,1965.0,11965.0
2021-06-25,1,35.0,2000.0,12000.0
2021-06-28,2,-85.0,1915.0,11915.0
2021-06-29,2,60.0,1975.0,11975.0
2021-06-30,2,85.0,2060.0,12060.0
2021-07-01,2,65.0,2125.0,12125.0
2021-07-02,2,-70.0,2055.0,12055.0
2021-07-05,4,115.0,2170.0,12170.0
2021-07-07,2,90.0,2260.0,12260.0
2021-07-08,5,55.0,2315.0,12315.0
2021-07-12,2,70.0,2385.0,12385.0
2021-07-13,3,130.0,2515.0,12515.0
2021-07-15,3,150.0,2665.0,12665.0
2021-07-16,2,-70.0,2595.0,12595.0
2021-07-19,1,60.0,2655.0,12655.0
2021-07-20,3,-20.0,2635.0,12635.0
2021-07-21,2,-80.0,2555.0,12555.0
2021-07-22,3,-35.0,2520.0,12520.0
2021-07-23,2,-75.0,2445.0,12445.0
2021-07-26,1,35.0,2480.0,12480.0
2021-07-27,2,65.0,2545.0,12545.0
2021-07-29,2,-70.0,2475.0,12475.0
2021-08-02,2,90.0,2565.0,12565.0
2021-08-03,1,60.0,2625.0,12625.0
2021-08-04,2,115.0,2740.0,12740.0
2021-08-05,1,45.0,2785.0,12785.0
2021-08-06,1,-175.0,2610.0,12610.0
2021-08-09,1,50.0,2660.0,12660.0
2021-08-10,4,190.0,2850.0,12850.0
2021-08-11,1,45.0,2895.0,12895.0
2021-08-12,4,145.0,3040.0,13040.0
2021-08-13,3,-35.0,3005.0,13005.0
2021-08-16,2,90.0,3095.0,13095.0
2021-08-17,4,30.0,3125.0,13125.0
2021-08-18,2,100.0,3225.0,13225.0
2021-08-19,3,-70.0,3155.0,13155.0
2021-08-20,2,95.0,3250.0,13250.0
2021-08-23,2,-90.0,3160.0,13160.0
2021-08-25,1,35.0,3195.0,13195.0
2021-08-26,1,30.0,3225.0,13225.0
2021-08-27,4,5.0,3230.0,13230.0
2021-08-30,2,60.0,3290.0,13290.0
2021-08-31,3,95.0,3385.0,13385.0
2021-09-01,2,-80.0,3305.0,13305.0
2021-09-02,3,110.0,3415.0,13415.0
2021-09-03,2,95.0,3510.0,13510.0
2021-09-06,1,25.0,3535.0,13535.0
2021-09-08,2,75.0,3610.0,13610.0
2021-09-09,3,150.0,3760.0,13760.0
2021-09-10,2,160.0,3920.0,13920.0
2021-09-13,1,-140.0,3780.0,13780.0
2021-09-14,1,-95.0,3685.0,13685.0
2021-09-15,2,75.0,3760.0,13760.0
2021-09-16,2,75.0,3835.0,13835.0
2021-09-17,1,35.0,3870.0,13870.0
2021-09-20,3,-45.0,3825.0,13825.0
2021-09-21,1,-140.0,3685.0,13685.0
2021-09-22,1,35.0,3720.0,13720.0
2021-09-23,2,-75.0,3645.0,13645.0
2021-09-24,2,55.0,3700.0,13700.0
2021-09-27,2,65.0,3765.0,13765.0
2021-09-28,3,-25.0,3740.0,13740.0
2021-09-29,1,-95.0,3645.0,13645.0
2021-09-30,2,-100.0,3545.0,13545.0
2021-10-01,4,155.0,3700.0,13700.0
2021-10-04,2,70.0,3770.0,13770.0
2021-10-05,4,5.0,3775.0,13775.0
2021-10-06,2,-90.0,3685.0,13685.0
2021-10-07,1,35.0,3720.0,13720.0
2021-10-08,2,-70.0,3650.0,13650.0
2021-10-11,3,-25.0,3625.0,13625.0
2021-10-13,2,75.0,3700.0,13700.0
2021-10-14,4,10.0,3710.0,13710.0
2021-10-15,1,30.0,3740.0,13740.0
2021-10-18,1,30.0,3770.0,13770.0
2021-10-19,2,-90.0,3680.0,13680.0
2021-10-21,1,55.0,3735.0,13735.0
2021-10-22,4,30.0,3765.0,13765.0
2021-10-25,3,135.0,3900.0,13900.0
2021-10-26,4,-145.0,3755.0,13755.0
2021-10-27,1,45.0,3800.0,13800.0
2021-10-28,1,45.0,3845.0,13845.0
2021-10-29,5,-110.0,3735.0,13735.0
2021-11-01,1,35.0,3770.0,13770.0
2021-11-03,2,-50.0,3720.0,13720.0
2021-11-04,2,-95.0,3625.0,13625.0
2021-11-05,1,-120.0,3505.0,13505.0
2021-11-08,1,35.0,3540.0,13540.0
2021-11-09,3,-45.0,3495.0,13495.0
2021-11-11,1,30.0,3525.0,13525.0
2021-11-12,1,35.0,3560.0,13560.0
2021-11-16,3,110.0,3670.0,13670.0
2021-11-17,2,70.0,3740.0,13740.0
2021-11-18,4,-5.0,3735.0,13735.0
2021-11-19,2,55.0,3790.0,13790.0
2021-11-22,2,55.0,3845.0,13845.0
2021-11-23,1,35.0,3880.0,13880.0
2021-11-24,1,45.0,3925.0,13925.0
2021-11-25,4,5.0,3930.0,13930.0
2021-11-26,3,120.0,4050.0,14050.0
2021-11-29,4,15.0,4065.0,14065.0
2021-11-30,3,-60.0,4005.0,14005.0
2021-12-01,1,35.0,4040.0,14040.0
2021-12-02,1,-120.0,3920.0,13920.0
2021-12-03,4,-30.0,3890.0,13890.0
2021-12-06,1,40.0,3930.0,13930.0
2021-12-07,1,30.0,3960.0,13960.0
2021-12-09,2,60.0,4020.0,14020.0
2021-12-10,3,-50.0,3970.0,13970.0
2021-12-13,4,-160.0,3810.0,13810.0
2021-12-14,1,-105.0,3705.0,13705.0
2021-12-15,2,85.0,3790.0,13790.0
2021-12-16,1,50.0,3840.0,13840.0
2021-12-17,3,105.0,3945.0,13945.0
2021-12-20,5,145.0,4090.0,14090.0
2021-12-21,1,30.0,4120.0,14120.0
2021-12-23,1,-95.0,4025.0,14025.0
2021-12-27,2,80.0,4105.0,14105.0
2021-12-28,1,-60.0,4045.0,14045.0
2021-12-29,2,50.0,4095.0,14095.0
2021-12-30,1,40.0,4135.0,14135.0
2022-01-03,1,40.0,4175.0,14175.0
2022-01-04,2,-105.0,4070.0,14070.0
2022-01-06,1,-130.0,3940.0,13940.0
2022-01-07,1,35.0,3975.0,13975.0
2022-01-10,2,50.0,4025.0,14025.0
2022-01-11,1,25.0,4050.0,14050.0
2022-01-13,2,70.0,4120.0,14120.0
2022-01-14,2,-45.0,4075.0,14075.0
2022-01-17,1,25.0,4100.0,14100.0
2022-01-18,3,-35.0,4065.0,14065.0
2022-01-20,2,-65.0,4000.0,14000.0
2022-01-21,2,-80.0,3920.0,13920.0
2022-01-24,3,105.0,4025.0,14025.0
2022-01-25,3,90.0,4115.0,14115.0
2022-01-26,2,-75.0,4040.0,14040.0
2022-01-27,1,50.0,4090.0,14090.0
2022-01-28,2,60.0,4150.0,14150.0
2022-01-31,1,35.0,4185.0,14185.0
2022-02-01,1,-90.0,4095.0,14095.0
2022-02-02,3,85.0,4180.0,14180.0
2022-02-03,3,95.0,4275.0,14275.0
2022-02-04,3,-180.0,4095.0,14095.0
2022-02-07,1,-80.0,4015.0,14015.0
2022-02-08,1,30.0,4045.0,14045.0
2022-02-09,2,65.0,4110.0,14110.0
2022-02-10,5,15.0,4125.0,14125.0
2022-02-11,1,-135.0,3990.0,13990.0
2022-02-14,1,70.0,4060.0,14060.0
2022-02-15,2,-75.0,3985.0,13985.0
2022-02-17,1,35.0,4020.0,14020.0
2022-02-18,4,100.0,4120.0,14120.0
2022-02-21,1,35.0,4155.0,14155.0
2022-02-22,2,55.0,4210.0,14210.0
2022-02-24,2,100.0,4310.0,14310.0
2022-02-25,2,145.0,4455.0,14455.0
2022-03-03,1,40.0,4495.0,14495.0
2022-03-04,4,15.0,4510.0,14510.0
2022-03-07,1,30.0,4540.0,14540.0
2022-03-08,2,85.0,4625.0,14625.0
2022-03-10,3,-25.0,4600.0,14600.0
2022-03-11,1,25.0,4625.0,14625.0
2022-03-14,2,65.0,4690.0,14690.0
2022-03-15,1,40.0,4730.0,14730.0
2022-03-17,1,-140.0,4590.0,14590.0
2022-03-18,2,65.0,4655.0,14655.0
2022-03-21,1,-115.0,4540.0,14540.0
2022-03-22,2,65.0,4605.0,14605.0
2022-03-24,3,105.0,4710.0,14710.0
2022-03-25,3,140.0,4850.0,14850.0
2022-03-28,1,40.0,4890.0,14890.0
2022-03-29,2,-100.0,4790.0,14790.0
2022-03-30,1,40.0,4830.0,14830.0
2022-03-31,2,90.0,4920.0,14920.0
2022-04-04,1,30.0,4950.0,14950.0
2022-04-05,2,85.0,5035.0,15035.0
2022-04-06,2,70.0,5105.0,15105.0
2022-04-07,3,140.0,5245.0,15245.0
2022-04-08,2,-85.0,5160.0,15160.0
2022-04-12,1,30.0,5190.0,15190.0
2022-04-13,2,-60.0,5130.0,15130.0
2022-04-14,1,30.0,5160.0,15160.0
2022-04-18,1,-95.0,5065.0,15065.0
2022-04-19,3,-35.0,5030.0,15030.0
2022-04-25,4,-240.0,4790.0,14790.0
2022-04-26,1,60.0,4850.0,14850.0
2022-04-28,2,-85.0,4765.0,14765.0
2022-04-29,2,-70.0,4695.0,14695.0
2022-05-02,2,105.0,4800.0,14800.0
2022-05-03,4,200.0,5000.0,15000.0
2022-05-04,2,90.0,5090.0,15090.0
2022-05-05,1,60.0,5150.0,15150.0
2022-05-06,1,50.0,5200.0,15200.0
2022-05-09,1,60.0,5260.0,15260.0
2022-05-10,2,80.0,5340.0,15340.0
2022-05-11,1,-130.0,5210.0,15210.0
2022-05-12,2,-80.0,5130.0,15130.0
2022-05-13,4,180.0,5310.0,15310.0
2022-05-16,4,-5.0,5305.0,15305.0
2022-05-17,1,45.0,5350.0,15350.0
2022-05-18,3,125.0,5475.0,15475.0
2022-05-19,6,60.0,5535.0,15535.0
2022-05-20,5,200.0,5735.0,15735.0
2022-05-23,2,75.0,5810.0,15810.0
2022-05-24,3,-25.0,5785.0,15785.0
2022-05-26,2,-90.0,5695.0,15695.0
2022-05-27,2,-90.0,5605.0,15605.0
2022-05-30,1,35.0,5640.0,15640.0
2022-05-31,1,60.0,5700.0,15700.0
2022-06-01,1,35.0,5735.0,15735.0
2022-06-02,1,-115.0,5620.0,15620.0
2022-06-03,4,135.0,5755.0,15755.0
2022-06-06,2,65.0,5820.0,15820.0
2022-06-07,1,60.0,5880.0,15880.0
2022-06-09,2,70.0,5950.0,15950.0
2022-06-13,2,95.0,6045.0,16045.0
2022-06-14,3,-35.0,6010.0,16010.0
2022-06-15,2,80.0,6090.0,16090.0
2022-06-20,2,75.0,6165.0,16165.0
2022-06-21,3,95.0,6260.0,16260.0
2022-06-22,1,45.0,6305.0,16305.0
2022-06-23,2,75.0,6380.0,16380.0
2022-06-24,2,-70.0,6310.0,16310.0
2022-06-27,2,80.0,6390.0,16390.0
2022-06-28,2,75.0,6465.0,16465.0
2022-06-30,1,45.0,6510.0,16510.0
2022-07-01,2,85.0,6595.0,16595.0
2022-07-04,1,35.0,6630.0,16630.0
2022-07-05,1,30.0,6660.0,16660.0
2022-07-06,2,-225.0,6435.0,16435.0
2022-07-07,2,70.0,6505.0,16505.0
2022-07-08,2,-85.0,6420.0,16420.0
2022-07-11,1,40.0,6460.0,16460.0
2022-07-12,1,35.0,6495.0,16495.0
2022-07-14,4,-15.0,6480.0,16480.0
2022-07-15,4,-340.0,6140.0,16140.0
2022-07-18,4,120.0,6260.0,16260.0
2022-07-19,3,105.0,6365.0,16365.0
2022-07-21,1,45.0,6410.0,16410.0
2022-07-22,4,120.0,6530.0,16530.0
2022-07-25,2,50.0,6580.0,16580.0
2022-07-26,1,50.0,6630.0,16630.0
2022-07-28,1,-150.0,6480.0,16480.0
2022-07-29,3,170.0,6650.0,16650.0
2022-08-01,2,145.0,6795.0,16795.0
2022-08-02,4,160.0,6955.0,16955.0
2022-08-03,2,65.0,7020.0,17020.0
2022-08-04,2,55.0,7075.0,17075.0
2022-08-05,1,50.0,7125.0,17125.0
2022-08-08,1,-95.0,7030.0,17030.0
2022-08-09,2,60.0,7090.0,17090.0
2022-08-11,2,90.0,7180.0,17180.0
2022-08-12,1,35.0,7215.0,17215.0
2022-08-15,3,110.0,7325.0,17325.0
2022-08-16,2,75.0,7400.0,17400.0
2022-08-18,1,45.0,7445.0,17445.0
2022-08-19,1,45.0,7490.0,17490.0
2022-08-22,4,5.0,7495.0,17495.0
2022-08-23,3,115.0,7610.0,17610.0
2022-08-25,1,30.0,7640.0,17640.0
2022-08-26,2,65.0,7705.0,17705.0
2022-08-29,2,70.0,7775.0,17775.0
2022-08-30,1,40.0,7815.0,17815.0
2022-08-31,2,-300.0,7515.0,17515.0
2022-09-01,2,105.0,7620.0,17620.0
2022-09-02,1,-155.0,7465.0,17465.0
2022-09-05,2,-80.0,7385.0,17385.0
2022-09-06,1,30.0,7415.0,17415.0
2022-09-08,2,80.0,7495.0,17495.0
2022-09-09,4,0.0,7495.0,17495.0
2022-09-12,1,30.0,7525.0,17525.0
2022-09-13,1,-140.0,7385.0,17385.0
2022-09-14,1,35.0,7420.0,17420.0
2022-09-15,3,-10.0,7410.0,17410.0
2022-09-16,2,-60.0,7350.0,17350.0
2022-09-19,3,95.0,7445.0,17445.0
2022-09-20,3,120.0,7565.0,17565.0
2022-09-21,1,45.0,7610.0,17610.0
2022-09-22,1,50.0,7660.0,17660.0
2022-09-23,1,45.0,7705.0,17705.0
2022-09-27,2,125.0,7830.0,17830.0
2022-09-29,2,-70.0,7760.0,17760.0
2022-09-30,2,-130.0,7630.0,17630.0
2022-10-03,1,75.0,7705.0,17705.0
2022-10-04,1,45.0,7750.0,17750.0
2022-10-05,1,60.0,7810.0,17810.0
2022-10-06,2,-285.0,7525.0,17525.0
2022-10-07,1,50.0,7575.0,17575.0
2022-10-10,1,45.0,7620.0,17620.0
2022-10-11,1,35.0,7655.0,17655.0
2022-10-14,1,-140.0,7515.0,17515.0
2022-10-17,2,-85.0,7430.0,17430.0
2022-10-18,3,-15.0,7415.0,17415.0
2022-10-20,3,125.0,7540.0,17540.0
2022-10-21,3,-220.0,7320.0,17320.0
2022-10-24,1,60.0,7380.0,17380.0
2022-10-25,1,45.0,7425.0,17425.0
2022-10-26,2,-60.0,7365.0,17365.0
2022-10-28,2,125.0,7490.0,17490.0
2022-10-31,2,155.0,7645.0,17645.0
2022-11-01,2,140.0,7785.0,17785.0
2022-11-04,3,160.0,7945.0,17945.0
2022-11-07,2,110.0,8055.0,18055.0
2022-11-08,1,50.0,8105.0,18105.0
2022-11-10,1,105.0,8210.0,18210.0
2022-11-11,2,-185.0,8025.0,18025.0
2022-11-17,2,-105.0,7920.0,17920.0
2022-11-18,1,-195.0,7725.0,17725.0
2022-11-21,1,50.0,7775.0,17775.0
2022-11-22,2,-110.0,7665.0,17665.0
2022-11-23,2,95.0,7760.0,17760.0
2022-11-24,1,50.0,7810.0,17810.0
2022-11-25,3,135.0,7945.0,17945.0
2022-11-28,1,50.0,7995.0,17995.0
2022-11-29,1,40.0,8035.0,18035.0
2022-11-30,1,45.0,8080.0,18080.0
2022-12-01,2,80.0,8160.0,18160.0
2022-12-02,3,130.0,8290.0,18290.0
2022-12-05,2,80.0,8370.0,18370.0
2022-12-06,1,25.0,8395.0,18395.0
2022-12-08,4,-155.0,8240.0,18240.0
2022-12-09,3,125.0,8365.0,18365.0
2022-12-12,1,45.0,8410.0,18410.0
2022-12-13,2,95.0,8505.0,18505.0
2022-12-15,2,125.0,8630.0,18630.0
2022-12-16,3,95.0,8725.0,18725.0
2022-12-19,1,35.0,8760.0,18760.0
2022-12-20,1,-145.0,8615.0,18615.0
2022-12-21,1,50.0,8665.0,18665.0
2022-12-22,3,-25.0,8640.0,18640.0
2022-12-23,1,35.0,8675.0,18675.0
2022-12-27,1,35.0,8710.0,18710.0
2022-12-28,2,-60.0,8650.0,18650.0
2022-12-29,1,30.0,8680.0,18680.0
2023-01-02,1,60.0,8740.0,18740.0
2023-01-03,1,45.0,8785.0,18785.0
2023-01-04,1,45.0,8830.0,18830.0
2023-01-06,5,155.0,8985.0,18985.0
2023-01-09,2,-95.0,8890.0,18890.0
2023-01-10,1,-110.0,8780.0,18780.0
2023-01-12,2,95.0,8875.0,18875.0
2023-01-13,2,100.0,8975.0,18975.0
2023-01-17,4,125.0,9100.0,19100.0
2023-01-19,3,130.0,9230.0,19230.0
2023-01-20,1,-125.0,9105.0,19105.0
2023-01-23,3,100.0,9205.0,19205.0
2023-01-24,2,-60.0,9145.0,19145.0
2023-01-26,3,-170.0,8975.0,18975.0
2023-01-27,2,65.0,9040.0,19040.0
2023-01-30,3,70.0,9110.0,19110.0
2023-01-31,3,115.0,9225.0,19225.0
2023-02-01,2,60.0,9285.0,19285.0
2023-02-02,1,-165.0,9120.0,19120.0
2023-02-03,1,-10.0,9110.0,19110.0
2023-02-06,3,100.0,9210.0,19210.0
2023-02-07,3,-200.0,9010.0,19010.0
2023-02-08,4,-5.0,9005.0,19005.0
2023-02-09,2,-105.0,8900.0,18900.0
2023-02-10,1,40.0,8940.0,18940.0
2023-02-13,2,-75.0,8865.0,18865.0
2023-02-14,2,80.0,8945.0,18945.0
2023-02-15,2,100.0,9045.0,19045.0
2023-02-17,2,70.0,9115.0,19115.0
2023-02-22,1,-75.0,9040.0,19040.0
2023-02-23,2,-70.0,8970.0,18970.0
2023-02-24,2,65.0,9035.0,19035.0
2023-02-27,3,-180.0,8855.0,18855.0
2023-02-28,4,185.0,9040.0,19040.0
2023-03-01,1,-135.0,8905.0,18905.0
2023-03-02,1,30.0,8935.0,18935.0
2023-03-03,2,-70.0,8865.0,18865.0
2023-03-06,2,50.0,8915.0,18915.0
2023-03-07,2,60.0,8975.0,18975.0
2023-03-09,2,65.0,9040.0,19040.0
2023-03-10,1,40.0,9080.0,19080.0
2023-03-14,1,-115.0,8965.0,18965.0
2023-03-16,3,120.0,9085.0,19085.0
2023-03-17,2,65.0,9150.0,19150.0
2023-03-20,2,50.0,9200.0,19200.0
2023-03-21,1,20.0,9220.0,19220.0
2023-03-22,2,55.0,9275.0,19275.0
2023-03-23,1,45.0,9320.0,19320.0
2023-03-24,1,35.0,9355.0,19355.0
2023-03-27,1,-75.0,9280.0,19280.0
2023-03-28,1,25.0,9305.0,19305.0
2023-03-30,2,-250.0,9055.0,19055.0
2023-03-31,1,35.0,9090.0,19090.0
2023-04-03,2,60.0,9150.0,19150.0
2023-04-04,2,-35.0,9115.0,19115.0
2023-04-06,1,25.0,9140.0,19140.0
2023-04-10,1,25.0,9165.0,19165.0
2023-04-11,1,-80.0,9085.0,19085.0
2023-04-13,3,-60.0,9025.0,19025.0
2023-04-14,1,-105.0,8920.0,18920.0
2023-04-17,1,-70.0,8850.0,18850.0
2023-04-18,1,30.0,8880.0,18880.0
2023-04-19,2,-60.0,8820.0,18820.0
2023-04-20,3,80.0,8900.0,18900.0
2023-04-24,4,-15.0,8885.0,18885.0
2023-04-25,4,5.0,8890.0,18890.0
2023-04-27,4,115.0,9005.0,19005.0
2023-04-28,1,30.0,9035.0,19035.0
2023-05-02,1,30.0,9065.0,19065.0
2023-05-03,1,20.0,9085.0,19085.0
2023-05-04,2,90.0,9175.0,19175.0
2023-05-05,2,55.0,9230.0,19230.0
2023-05-08,2,60.0,9290.0,19290.0
2023-05-09,1,25.0,9315.0,19315.0
2023-05-11,1,25.0,9340.0,19340.0
2023-05-12,2,45.0,9385.0,19385.0
2023-05-15,2,40.0,9425.0,19425.0
2023-05-16,1,30.0,9455.0,19455.0
2023-05-18,2,-55.0,9400.0,19400.0
2023-05-19,1,25.0,9425.0,19425.0
2023-05-22,2,50.0,9475.0,19475.0
2023-05-23,3,-25.0,9450.0,19450.0
2023-05-25,1,25.0,9475.0,19475.0
2023-05-29,3,-25.0,9450.0,19450.0
2023-05-30,1,-75.0,9375.0,19375.0
2023-05-31,2,85.0,9460.0,19460.0
2023-06-01,2,-60.0,9400.0,19400.0
2023-06-02,3,80.0,9480.0,19480.0
2023-06-05,2,40.0,9520.0,19520.0
2023-06-06,1,25.0,9545.0,19545.0
2023-06-07,1,-80.0,9465.0,19465.0
2023-06-09,2,-75.0,9390.0,19390.0
2023-06-12,2,50.0,9440.0,19440.0
2023-06-13,2,-50.0,9390.0,19390.0
2023-06-15,4,165.0,9555.0,19555.0
2023-06-16,1,20.0,9575.0,19575.0
2023-06-20,3,75.0,9650.0,19650.0
2023-06-22,1,20.0,9670.0,19670.0
2023-06-23,4,-110.0,9560.0,19560.0
2023-06-26,1,15.0,9575.0,19575.0
2023-06-27,1,30.0,9605.0,19605.0
2023-06-29,1,40.0,9645.0,19645.0
2023-06-30,2,55.0,9700.0,19700.0
2023-07-06,1,40.0,9740.0,19740.0
2023-07-10,2,-50.0,9690.0,19690.0
2023-07-13,1,-85.0,9605.0,19605.0
2023-07-14,2,55.0,9660.0,19660.0
2023-07-17,1,25.0,9685.0,19685.0
2023-07-18,1,30.0,9715.0,19715.0
2023-07-20,5,-55.0,9660.0,19660.0
2023-07-21,1,25.0,9685.0,19685.0
2023-07-25,1,-60.0,9625.0,19625.0
2023-07-27,1,30.0,9655.0,19655.0
2023-07-28,2,65.0,9720.0,19720.0
2023-07-31,4,0.0,9720.0,19720.0
2023-08-01,2,45.0,9765.0,19765.0
2023-08-02,2,50.0,9815.0,19815.0
2023-08-03,2,60.0,9875.0,19875.0
2023-08-04,1,30.0,9905.0,19905.0
2023-08-07,1,25.0,9930.0,19930.0
2023-08-08,2,35.0,9965.0,19965.0
2023-08-09,1,25.0,9990.0,19990.0
2023-08-10,1,25.0,10015.0,20015.0
2023-08-11,1,35.0,10050.0,20050.0
2023-08-14,1,20.0,10070.0,20070.0
2023-08-15,2,-60.0,10010.0,20010.0
2023-08-16,1,20.0,10030.0,20030.0
2023-08-17,2,-185.0,9845.0,19845.0
2023-08-18,2,50.0,9895.0,19895.0
2023-08-21,2,45.0,9940.0,19940.0
2023-08-22,2,45.0,9985.0,19985.0
2023-08-24,2,50.0,10035.0,20035.0
2023-08-25,2,-65.0,9970.0,19970.0
2023-08-28,1,20.0,9990.0,19990.0
2023-08-29,3,-45.0,9945.0,19945.0
2023-08-30,4,90.0,10035.0,20035.0
2023-08-31,1,35.0,10070.0,20070.0
2023-09-01,2,-60.0,10010.0,20010.0
2023-09-04,1,15.0,10025.0,20025.0
2023-09-05,1,20.0,10045.0,20045.0
2023-09-08,3,-20.0,10025.0,20025.0
2023-09-11,2,35.0,10060.0,20060.0
2023-09-12,1,-55.0,10005.0,20005.0
2023-09-14,1,20.0,10025.0,20025.0
2023-09-15,1,-65.0,9960.0,19960.0
2023-09-18,1,-55.0,9905.0,19905.0
2023-09-19,2,-35.0,9870.0,19870.0
2023-09-22,2,-140.0,9730.0,19730.0
2023-09-25,3,60.0,9790.0,19790.0
2023-09-27,1,25.0,9815.0,19815.0
2023-09-28,2,75.0,9890.0,19890.0
2023-09-29,3,-145.0,9745.0,19745.0
2023-10-02,2,65.0,9810.0,19810.0
2023-10-03,2,-70.0,9740.0,19740.0
2023-10-04,2,75.0,9815.0,19815.0
2023-10-05,5,40.0,9855.0,19855.0
2023-10-06,1,40.0,9895.0,19895.0
2023-10-11,2,70.0,9965.0,19965.0
2023-10-13,2,50.0,10015.0,20015.0
2023-10-16,2,45.0,10060.0,20060.0
2023-10-17,1,25.0,10085.0,20085.0
2023-10-18,2,55.0,10140.0,20140.0
2023-10-19,1,20.0,10160.0,20160.0
2023-10-20,1,25.0,10185.0,20185.0
2023-10-23,2,40.0,10225.0,20225.0
2023-10-24,3,65.0,10290.0,20290.0
2023-10-25,1,25.0,10315.0,20315.0
2023-10-26,1,-70.0,10245.0,20245.0
2023-10-27,1,20.0,10265.0,20265.0
2023-10-30,2,-75.0,10190.0,20190.0
2023-10-31,1,35.0,10225.0,20225.0
2023-11-06,1,20.0,10245.0,20245.0
2023-11-07,1,15.0,10260.0,20260.0
2023-11-09,3,-110.0,10150.0,20150.0
2023-11-10,1,25.0,10175.0,20175.0
2023-11-13,1,-55.0,10120.0,20120.0
2023-11-14,2,25.0,10145.0,20145.0
2023-11-16,3,-140.0,10005.0,20005.0
2023-11-17,2,55.0,10060.0,20060.0
2023-11-21,1,20.0,10080.0,20080.0
2023-11-24,2,35.0,10115.0,20115.0
2023-11-27,3,50.0,10165.0,20165.0
2023-11-28,1,25.0,10190.0,20190.0
2023-11-29,2,-95.0,10095.0,20095.0
2023-11-30,2,-185.0,9910.0,19910.0
2023-12-01,2,-35.0,9875.0,19875.0
2023-12-04,1,20.0,9895.0,19895.0
2023-12-05,1,25.0,9920.0,19920.0
2023-12-07,2,40.0,9960.0,19960.0
2023-12-08,1,15.0,9975.0,19975.0
2023-12-11,1,-55.0,9920.0,19920.0
2023-12-12,3,75.0,9995.0,19995.0
2023-12-13,1,20.0,10015.0,20015.0
2023-12-14,2,-70.0,9945.0,19945.0
2023-12-15,1,20.0,9965.0,19965.0
2023-12-18,2,-35.0,9930.0,19930.0
2023-12-19,3,60.0,9990.0,19990.0
2023-12-20,3,60.0,10050.0,20050.0
2023-12-21,3,-45.0,10005.0,20005.0
2023-12-22,4,60.0,10065.0,20065.0
2023-12-26,4,55.0,10120.0,20120.0
2023-12-27,1,-60.0,10060.0,20060.0
2023-12-28,1,-70.0,9990.0,19990.0
2024-01-02,1,30.0,10020.0,20020.0
2024-01-04,2,50.0,10070.0,20070.0
2024-01-05,1,-60.0,10010.0,20010.0
2024-01-08,1,15.0,10025.0,20025.0
2024-01-09,4,10.0,10035.0,20035.0
2024-01-11,4,-105.0,9930.0,19930.0
2024-01-12,4,50.0,9980.0,19980.0
2024-01-15,1,15.0,9995.0,19995.0
2024-01-16,4,30.0,10025.0,20025.0
2024-01-18,4,-10.0,10015.0,20015.0
