number,value,datetime_start,datetime_complete,duration,params_ATR_Length,params_AllowFriday,params_AllowMonday,params_AllowThursday,params_AllowTuesday,params_AllowWednesday,params_EntryStart_TotalMinutes,params_FilterAsPercOfContractMARange,params_LastEntry_TotalMinutes,params_MinDirectionalTrendEfficiency15m,params_MinRelativeVolumeAtTime,params_MinSignalVolumeWindowSum,params_MinutesBeforeMarketCloseToClosePositions,params_NumDaysToConsiderPreviousContractMARange,params_RelativeVolumeFilterMode,params_RelativeVolumeLookbackDays,params_RetracementLevel,params_SL_ATRMultiplier,params_TP_ATRMultiplier,params_TrendEfficiencyFilterMode,params_TrendEfficiencyWindowMinutes,params_VolumeFilterMode,params_VolumeWindowMinutes,user_attrs_train_metrics,state
10,-966.0,2026-03-27 01:18:03.500404,2026-03-27 01:18:15.416458,0 days 00:00:11.916054,37,True,False,True,False,True,575,0.4,545,0.6000000000000001,1.4,15000.0,6,7,both,55,0.18,1.35,0.4,long,20,off,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 34, 'win_rate': 0.8529, 'net_profit_brl': 575.0, 'avg_profit_brl': 16.91, 'avg_win_brl': 51.72, 'avg_loss_brl': -185.0, 'profit_factor': 1.6216, 'max_drawdown_pct': 4.27, 'expected_payoff': 16.91, 'on_tester_value': 134.563218}",COMPLETE
11,11.099642,2026-03-27 01:18:15.416514,2026-03-27 01:18:28.069885,0 days 00:00:12.653371,21,True,False,False,False,True,540,0.45000000000000007,870,0.55,0.7,67500.0,6,3,both,45,0.25,0.55,1.0,both,10,long,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 234, 'win_rate': 0.3504, 'net_profit_brl': 140.0, 'avg_profit_brl': 0.6, 'avg_win_brl': 127.62, 'avg_loss_brl': -67.93, 'profit_factor': 1.0136, 'max_drawdown_pct': 12.61, 'expected_payoff': 0.6, 'on_tester_value': 11.099642}",COMPLETE
12,-971.0,2026-03-27 01:18:28.069931,2026-03-27 01:18:40.058364,0 days 00:00:11.988433,26,True,False,True,False,True,835,0.15,885,0.0,0.7,47500.0,10,3,long,60,0.13,1.05,1.0,off,30,both,30,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 29, 'win_rate': 0.4138, 'net_profit_brl': -750.0, 'avg_profit_brl': -25.86, 'avg_win_brl': 132.08, 'avg_loss_brl': -137.35, 'profit_factor': 0.6788, 'max_drawdown_pct': 8.91, 'expected_payoff': -25.86, 'on_tester_value': -84.157459}",COMPLETE
13,-12.889831,2026-03-27 01:18:40.058412,2026-03-27 01:18:52.257936,0 days 00:00:12.199524,21,True,False,True,True,False,790,0.25,705,0.6000000000000001,2.0,40000.0,13,6,off,60,0.12000000000000001,0.5,0.1,short,30,long,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 172, 'win_rate': 0.8372, 'net_profit_brl': -75.0, 'avg_profit_brl': -0.44, 'avg_win_brl': 12.36, 'avg_loss_brl': -66.25, 'profit_factor': 0.9596, 'max_drawdown_pct': 5.82, 'expected_payoff': -0.44, 'on_tester_value': -12.889831}",COMPLETE
14,63.131868,2026-03-27 01:18:52.257979,2026-03-27 01:19:05.298296,0 days 00:00:13.040317,27,True,True,True,False,False,900,0.5,590,0.05,1.4500000000000002,47500.0,14,6,both,50,0.33,1.35,0.6,short,15,off,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 115, 'win_rate': 0.7043, 'net_profit_brl': 750.0, 'avg_profit_brl': 6.52, 'avg_win_brl': 80.56, 'avg_loss_brl': -169.85, 'profit_factor': 1.1299, 'max_drawdown_pct': 11.88, 'expected_payoff': 6.52, 'on_tester_value': 63.131868}",COMPLETE
15,236.714634,2026-03-27 01:19:05.298340,2026-03-27 01:19:17.135640,0 days 00:00:11.837300,14,False,False,True,False,False,685,0.25,585,0.25,0.8,25000.0,10,6,both,10,0.33999999999999997,0.6,0.2,long,20,both,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 142, 'win_rate': 0.7958, 'net_profit_brl': 865.0, 'avg_profit_brl': 6.09, 'avg_win_brl': 26.19, 'avg_loss_brl': -72.24, 'profit_factor': 1.4129, 'max_drawdown_pct': 3.65, 'expected_payoff': 6.09, 'on_tester_value': 236.714634}",COMPLETE
16,-967.0,2026-03-27 01:19:17.135697,2026-03-27 01:19:29.439379,0 days 00:00:12.303682,33,False,True,True,True,False,605,0.2,665,0.15000000000000002,1.6,35000.0,1,5,both,35,0.25,0.8500000000000001,0.5,off,25,both,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 33, 'win_rate': 0.697, 'net_profit_brl': 165.0, 'avg_profit_brl': 5.0, 'avg_win_brl': 53.04, 'avg_loss_brl': -105.5, 'profit_factor': 1.1564, 'max_drawdown_pct': 2.54, 'expected_payoff': 5.0, 'on_tester_value': 65.016346}",COMPLETE
17,294.454745,2026-03-27 01:19:29.439425,2026-03-27 01:19:41.905046,0 days 00:00:12.465621,13,True,False,False,True,False,630,0.25,800,0.30000000000000004,2.2,50000.0,3,3,off,25,0.37,1.1,0.30000000000000004,off,15,long,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 239, 'win_rate': 0.8201, 'net_profit_brl': 1690.0, 'avg_profit_brl': 7.07, 'avg_win_brl': 37.58, 'avg_loss_brl': -131.98, 'profit_factor': 1.2978, 'max_drawdown_pct': 5.74, 'expected_payoff': 7.07, 'on_tester_value': 294.454745}",COMPLETE
18,-1000.0,2026-03-27 01:19:41.905093,2026-03-27 01:19:53.560635,0 days 00:00:11.655542,11,False,False,False,False,False,625,0.45000000000000007,595,0.05,0.85,30000.0,6,4,short,40,0.15000000000000002,1.0,0.6,both,15,both,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 0, 'win_rate': 0.0, 'net_profit_brl': 0.0, 'avg_profit_brl': 0.0, 'avg_win_brl': 0.0, 'avg_loss_brl': 0.0, 'profit_factor': 0.0, 'max_drawdown_pct': 0.0, 'expected_payoff': 0.0, 'on_tester_value': 0.0}",COMPLETE
19,-984.0,2026-03-27 01:19:53.560679,2026-03-27 01:20:06.086639,0 days 00:00:12.525960,23,True,True,False,False,False,585,0.5,560,0.65,2.0,47500.0,6,3,short,25,0.32,0.9,0.85,off,10,long,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 16, 'win_rate': 0.6875, 'net_profit_brl': 590.0, 'avg_profit_brl': 36.88, 'avg_win_brl': 105.45, 'avg_loss_brl': -114.0, 'profit_factor': 2.0351, 'max_drawdown_pct': 2.35, 'expected_payoff': 36.88, 'on_tester_value': 250.868}",COMPLETE
20,4.776119,2026-03-27 01:20:06.086687,2026-03-27 01:20:18.194551,0 days 00:00:12.107864,14,False,False,True,True,True,705,0.2,650,0.25,0.8,17500.0,4,7,long,55,0.29000000000000004,0.9,0.85,both,30,short,30,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 124, 'win_rate': 0.5161, 'net_profit_brl': 80.0, 'avg_profit_brl': 0.65, 'avg_win_brl': 105.16, 'avg_loss_brl': -110.83, 'profit_factor': 1.012, 'max_drawdown_pct': 16.75, 'expected_payoff': 0.65, 'on_tester_value': 4.776119}",COMPLETE
21,-1000.0,2026-03-27 01:20:18.194597,2026-03-27 01:20:30.096127,0 days 00:00:11.901530,13,False,False,True,True,False,800,0.35,800,0.6000000000000001,0.75,75000.0,14,6,short,30,0.28,1.5,0.85,long,20,short,30,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 0, 'win_rate': 0.0, 'net_profit_brl': 0.0, 'avg_profit_brl': 0.0, 'avg_win_brl': 0.0, 'avg_loss_brl': 0.0, 'profit_factor': 0.0, 'max_drawdown_pct': 0.0, 'expected_payoff': 0.0, 'on_tester_value': 0.0}",COMPLETE
22,76.402299,2026-03-27 01:20:30.096173,2026-03-27 01:20:42.319199,0 days 00:00:12.223026,28,True,True,False,False,False,855,0.4,725,0.15000000000000002,0.7,20000.0,2,5,long,30,0.16,1.5,0.55,off,25,off,30,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 204, 'win_rate': 0.7549, 'net_profit_brl': 1150.0, 'avg_profit_brl': 5.64, 'avg_win_brl': 67.6, 'avg_loss_brl': -185.2, 'profit_factor': 1.1242, 'max_drawdown_pct': 15.05, 'expected_payoff': 5.64, 'on_tester_value': 76.402299}",COMPLETE
23,708.175893,2026-03-27 01:20:42.319243,2026-03-27 01:20:54.876394,0 days 00:00:12.557151,30,True,False,False,True,True,810,0.35,615,0.15000000000000002,0.75,57500.0,4,3,long,10,0.15000000000000002,1.3,0.25,off,10,both,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 291, 'win_rate': 0.9003, 'net_profit_brl': 3635.0, 'avg_profit_brl': 12.49, 'avg_win_brl': 33.97, 'avg_loss_brl': -181.55, 'profit_factor': 1.6904, 'max_drawdown_pct': 5.13, 'expected_payoff': 12.49, 'on_tester_value': 708.175893}",COMPLETE
24,539.697561,2026-03-27 01:20:54.876442,2026-03-27 01:21:07.229618,0 days 00:00:12.353176,33,True,True,False,False,True,885,0.4,670,0.7000000000000001,1.4,65000.0,1,3,short,35,0.1,0.8,0.45000000000000007,off,15,off,30,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 593, 'win_rate': 0.6863, 'net_profit_brl': 4280.0, 'avg_profit_brl': 7.22, 'avg_win_brl': 53.75, 'avg_loss_brl': -94.6, 'profit_factor': 1.2433, 'max_drawdown_pct': 7.93, 'expected_payoff': 7.22, 'on_tester_value': 539.697561}",COMPLETE
25,600.515254,2026-03-27 01:21:07.229665,2026-03-27 01:21:20.342359,0 days 00:00:13.112694,18,True,True,False,False,True,595,0.5,785,0.15000000000000002,0.6,55000.0,6,5,both,10,0.27,1.2000000000000002,0.4,off,25,off,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 574, 'win_rate': 0.7909, 'net_profit_brl': 5190.0, 'avg_profit_brl': 9.04, 'avg_win_brl': 49.35, 'avg_loss_brl': -143.46, 'profit_factor': 1.3015, 'max_drawdown_pct': 8.64, 'expected_payoff': 9.04, 'on_tester_value': 600.515254}",COMPLETE
26,522.383333,2026-03-27 01:21:20.342435,2026-03-27 01:21:33.272801,0 days 00:00:12.930366,39,False,False,False,True,True,760,0.30000000000000004,610,0.1,0.95,65000.0,5,3,long,10,0.11,1.15,0.1,off,20,both,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 382, 'win_rate': 0.9529, 'net_profit_brl': 1950.0, 'avg_profit_brl': 5.1, 'avg_win_brl': 12.76, 'avg_loss_brl': -149.72, 'profit_factor': 1.7236, 'max_drawdown_pct': 3.73, 'expected_payoff': 5.1, 'on_tester_value': 522.383333}",COMPLETE
27,428.027778,2026-03-27 01:21:33.272866,2026-03-27 01:21:45.577223,0 days 00:00:12.304357,28,True,False,True,True,True,855,0.4,655,0.45,0.85,57500.0,6,4,long,25,0.23,1.3,0.30000000000000004,off,10,both,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 116, 'win_rate': 0.8879, 'net_profit_brl': 1900.0, 'avg_profit_brl': 16.38, 'avg_win_brl': 42.33, 'avg_loss_brl': -189.23, 'profit_factor': 1.7724, 'max_drawdown_pct': 4.44, 'expected_payoff': 16.38, 'on_tester_value': 428.027778}",COMPLETE
28,109.507518,2026-03-27 01:21:45.577282,2026-03-27 01:21:58.438637,0 days 00:00:12.861355,29,True,True,False,True,True,810,0.2,540,0.7000000000000001,1.15,45000.0,3,3,both,50,0.18,0.55,0.7000000000000001,off,15,both,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1010, 'win_rate': 0.4673, 'net_profit_brl': 3755.0, 'avg_profit_brl': 3.72, 'avg_win_brl': 83.98, 'avg_loss_brl': -66.7, 'profit_factor': 1.1046, 'max_drawdown_pct': 34.29, 'expected_payoff': 3.72, 'on_tester_value': 109.507518}",COMPLETE
29,-991.0,2026-03-27 01:21:58.438684,2026-03-27 01:22:10.401644,0 days 00:00:11.962960,11,True,True,True,False,True,640,0.5,685,0.7000000000000001,0.85,60000.0,9,6,both,15,0.32,1.5,0.15000000000000002,off,10,both,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 9, 'win_rate': 0.6667, 'net_profit_brl': -595.0, 'avg_profit_brl': -66.11, 'avg_win_brl': 27.5, 'avg_loss_brl': -253.33, 'profit_factor': 0.2171, 'max_drawdown_pct': 7.22, 'expected_payoff': -66.11, 'on_tester_value': -82.403425}",COMPLETE
30,508.75,2026-03-27 01:22:10.401691,2026-03-27 01:22:22.769863,0 days 00:00:12.368172,27,True,False,False,True,True,825,0.30000000000000004,615,0.65,1.3,45000.0,1,4,long,45,0.17,0.9,0.1,short,15,both,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 230, 'win_rate': 0.9391, 'net_profit_brl': 1050.0, 'avg_profit_brl': 4.57, 'avg_win_brl': 12.11, 'avg_loss_brl': -111.79, 'profit_factor': 1.6709, 'max_drawdown_pct': 2.06, 'expected_payoff': 4.57, 'on_tester_value': 508.75}",COMPLETE
31,500.143333,2026-03-27 01:22:22.769912,2026-03-27 01:22:35.558460,0 days 00:00:12.788548,17,False,True,False,False,True,550,0.5,705,0.2,0.8,50000.0,3,5,both,15,0.26,1.25,0.5,off,25,off,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 323, 'win_rate': 0.7647, 'net_profit_brl': 3725.0, 'avg_profit_brl': 11.53, 'avg_win_brl': 59.8, 'avg_loss_brl': -145.33, 'profit_factor': 1.3373, 'max_drawdown_pct': 7.45, 'expected_payoff': 11.53, 'on_tester_value': 500.143333}",COMPLETE
