number,value,datetime_start,datetime_complete,duration,params_ATR_Length,params_AllowFriday,params_AllowMonday,params_AllowThursday,params_AllowTuesday,params_AllowWednesday,params_EntryStart_TotalMinutes,params_FilterAsPercOfContractMARange,params_LastEntry_TotalMinutes,params_MinDirectionalTrendEfficiency15m,params_MinRelativeVolumeAtTime,params_MinSignalVolumeWindowSum,params_MinutesBeforeMarketCloseToClosePositions,params_NumDaysToConsiderPreviousContractMARange,params_RelativeVolumeFilterMode,params_RelativeVolumeLookbackDays,params_RetracementLevel,params_SL_ATRMultiplier,params_TP_ATRMultiplier,params_TrendEfficiencyFilterMode,params_TrendEfficiencyWindowMinutes,params_VolumeFilterMode,params_VolumeWindowMinutes,user_attrs_train_metrics,state
42,486.567164,2026-03-27 01:24:35.815392,2026-03-27 01:24:48.584221,0 days 00:00:12.768829,25,True,True,False,True,True,830,0.4,710,0.8,0.65,40000.0,3,4,short,45,0.15000000000000002,0.55,0.15000000000000002,off,10,both,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 388, 'win_rate': 0.8376, 'net_profit_brl': 1630.0, 'avg_profit_brl': 4.2, 'avg_win_brl': 19.14, 'avg_loss_brl': -72.86, 'profit_factor': 1.3551, 'max_drawdown_pct': 3.35, 'expected_payoff': 4.2, 'on_tester_value': 486.567164}",COMPLETE
43,487.676768,2026-03-27 01:24:48.584267,2026-03-27 01:25:00.575005,0 days 00:00:11.990738,23,True,False,True,True,True,825,0.25,660,0.05,1.1,37500.0,6,5,short,20,0.11,1.4500000000000002,0.1,long,10,both,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 944, 'win_rate': 0.9608, 'net_profit_brl': 4250.0, 'avg_profit_brl': 4.5, 'avg_win_brl': 12.76, 'avg_loss_brl': -197.97, 'profit_factor': 1.5802, 'max_drawdown_pct': 8.71, 'expected_payoff': 4.5, 'on_tester_value': 487.676768}",COMPLETE
44,698.44086,2026-03-27 01:25:00.575050,2026-03-27 01:25:12.087906,0 days 00:00:11.512856,10,True,True,True,False,True,550,0.5,725,0.5,0.6,30000.0,14,6,short,10,0.2,1.25,0.45000000000000007,off,20,off,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1218, 'win_rate': 0.7726, 'net_profit_brl': 11000.0, 'avg_profit_brl': 9.03, 'avg_win_brl': 59.51, 'avg_loss_brl': -162.45, 'profit_factor': 1.2444, 'max_drawdown_pct': 15.75, 'expected_payoff': 9.03, 'on_tester_value': 698.44086}",COMPLETE
45,358.526316,2026-03-27 01:25:12.087958,2026-03-27 01:25:22.751814,0 days 00:00:10.663856,11,True,True,True,False,True,570,0.5,730,0.65,0.7,25000.0,13,7,short,10,0.14,1.2000000000000002,0.25,both,20,off,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 134, 'win_rate': 0.8955, 'net_profit_brl': 1965.0, 'avg_profit_brl': 14.66, 'avg_win_brl': 35.75, 'avg_loss_brl': -166.07, 'profit_factor': 1.8452, 'max_drawdown_pct': 5.48, 'expected_payoff': 14.66, 'on_tester_value': 358.526316}",COMPLETE
46,113.010268,2026-03-27 01:25:22.751857,2026-03-27 01:25:35.347282,0 days 00:00:12.595425,19,False,True,True,False,True,560,0.45000000000000007,675,0.30000000000000004,0.8,35000.0,13,6,long,15,0.1,1.25,0.65,off,25,off,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 771, 'win_rate': 0.6848, 'net_profit_brl': 2970.0, 'avg_profit_brl': 3.85, 'avg_win_brl': 74.78, 'avg_loss_brl': -150.27, 'profit_factor': 1.0813, 'max_drawdown_pct': 26.28, 'expected_payoff': 3.85, 'on_tester_value': 113.010268}",COMPLETE
47,321.056404,2026-03-27 01:25:35.347328,2026-03-27 01:25:47.708602,0 days 00:00:12.361274,10,True,False,True,True,True,560,0.45000000000000007,800,0.7000000000000001,0.8,30000.0,14,7,short,20,0.21000000000000002,1.1,0.6,off,25,short,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1354, 'win_rate': 0.6824, 'net_profit_brl': 8345.0, 'avg_profit_brl': 6.16, 'avg_win_brl': 78.45, 'avg_loss_brl': -149.17, 'profit_factor': 1.1301, 'max_drawdown_pct': 25.99, 'expected_payoff': 6.16, 'on_tester_value': 321.056404}",COMPLETE
48,340.833962,2026-03-27 01:25:47.708666,2026-03-27 01:25:59.041193,0 days 00:00:11.332527,24,True,False,True,False,True,595,0.4,755,0.5,0.7,57500.0,4,7,long,15,0.27,1.4500000000000002,0.35,long,20,off,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 472, 'win_rate': 0.8326, 'net_profit_brl': 3220.0, 'avg_profit_brl': 6.82, 'avg_win_brl': 43.12, 'avg_loss_brl': -173.73, 'profit_factor': 1.2346, 'max_drawdown_pct': 9.45, 'expected_payoff': 6.82, 'on_tester_value': 340.833962}",COMPLETE
49,1220.905923,2026-03-27 01:25:59.041239,2026-03-27 01:26:11.713391,0 days 00:00:12.672152,12,True,True,True,False,True,605,0.4,865,0.45,0.6,55000.0,8,6,both,25,0.25,1.4500000000000002,0.5,long,15,short,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 685, 'win_rate': 0.7912, 'net_profit_brl': 9600.0, 'avg_profit_brl': 14.01, 'avg_win_brl': 67.89, 'avg_loss_brl': -190.17, 'profit_factor': 1.353, 'max_drawdown_pct': 7.86, 'expected_payoff': 14.01, 'on_tester_value': 1220.905923}",COMPLETE
50,1366.588531,2026-03-27 01:26:11.713438,2026-03-27 01:26:23.539530,0 days 00:00:11.826092,14,True,True,True,False,True,565,0.25,820,0.5,0.6,50000.0,6,8,short,25,0.25,1.5,0.5,long,15,short,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1206, 'win_rate': 0.7952, 'net_profit_brl': 14595.0, 'avg_profit_brl': 12.1, 'avg_win_brl': 63.72, 'avg_loss_brl': -188.32, 'profit_factor': 1.3138, 'max_drawdown_pct': 10.68, 'expected_payoff': 12.1, 'on_tester_value': 1366.588531}",COMPLETE
51,306.795161,2026-03-27 01:26:23.539572,2026-03-27 01:26:35.388457,0 days 00:00:11.848885,14,True,True,True,False,True,645,0.5,805,0.4,0.95,30000.0,4,6,both,10,0.2,1.4500000000000002,0.25,long,10,short,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 507, 'win_rate': 0.8718, 'net_profit_brl': 3015.0, 'avg_profit_brl': 5.95, 'avg_win_brl': 33.22, 'avg_loss_brl': -179.54, 'profit_factor': 1.2584, 'max_drawdown_pct': 9.83, 'expected_payoff': 5.95, 'on_tester_value': 306.795161}",COMPLETE
52,904.729203,2026-03-27 01:26:35.388501,2026-03-27 01:26:48.217191,0 days 00:00:12.828690,14,True,True,True,False,True,605,0.25,845,0.35000000000000003,0.8,25000.0,9,8,short,30,0.19,1.35,0.45000000000000007,long,10,both,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1262, 'win_rate': 0.7924, 'net_profit_brl': 11355.0, 'avg_profit_brl': 9.0, 'avg_win_brl': 56.81, 'avg_loss_brl': -173.51, 'profit_factor': 1.2498, 'max_drawdown_pct': 12.55, 'expected_payoff': 9.0, 'on_tester_value': 904.729203}",COMPLETE
53,-71.819728,2026-03-27 01:26:48.217238,2026-03-27 01:26:59.855798,0 days 00:00:11.638560,12,True,True,True,False,True,730,0.2,855,0.35000000000000003,0.95,22500.0,12,8,short,35,0.22,1.15,0.55,long,15,both,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 189, 'win_rate': 0.6402, 'net_profit_brl': -1025.0, 'avg_profit_brl': -5.42, 'avg_win_brl': 76.24, 'avg_loss_brl': -150.74, 'profit_factor': 0.9, 'max_drawdown_pct': 14.27, 'expected_payoff': -5.42, 'on_tester_value': -71.819728}",COMPLETE
54,114.09904,2026-03-27 01:26:59.855847,2026-03-27 01:27:11.306973,0 days 00:00:11.451126,15,True,True,True,False,True,665,0.4,855,0.4,0.65,52500.0,13,5,long,25,0.27,1.4,0.5,long,15,off,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 451, 'win_rate': 0.7384, 'net_profit_brl': 2040.0, 'avg_profit_brl': 4.52, 'avg_win_brl': 65.65, 'avg_loss_brl': -167.97, 'profit_factor': 1.1029, 'max_drawdown_pct': 17.88, 'expected_payoff': 4.52, 'on_tester_value': 114.09904}",COMPLETE
55,689.827451,2026-03-27 01:27:11.307034,2026-03-27 01:27:24.136666,0 days 00:00:12.829632,17,True,True,True,False,True,550,0.35,855,0.6000000000000001,0.65,57500.0,5,7,off,30,0.25,1.4,0.55,off,15,short,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1608, 'win_rate': 0.7481, 'net_profit_brl': 11240.0, 'avg_profit_brl': 6.99, 'avg_win_brl': 67.2, 'avg_loss_brl': -172.28, 'profit_factor': 1.1615, 'max_drawdown_pct': 16.29, 'expected_payoff': 6.99, 'on_tester_value': 689.827451}",COMPLETE
56,615.498834,2026-03-27 01:27:24.136715,2026-03-27 01:27:36.431049,0 days 00:00:12.294334,12,True,True,True,False,False,600,0.5,815,0.4,1.0,55000.0,5,6,both,20,0.24000000000000002,1.3,0.4,off,15,off,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 549, 'win_rate': 0.8087, 'net_profit_brl': 6470.0, 'avg_profit_brl': 11.79, 'avg_win_brl': 53.83, 'avg_loss_brl': -166.0, 'profit_factor': 1.3712, 'max_drawdown_pct': 10.51, 'expected_payoff': 11.79, 'on_tester_value': 615.498834}",COMPLETE
57,460.87619,2026-03-27 01:27:36.431092,2026-03-27 01:27:48.255946,0 days 00:00:11.824854,33,True,True,True,True,True,690,0.35,610,0.75,1.4500000000000002,47500.0,3,3,short,35,0.15000000000000002,0.95,0.55,off,20,both,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 656, 'win_rate': 0.6784, 'net_profit_brl': 5060.0, 'avg_profit_brl': 7.71, 'avg_win_brl': 63.66, 'avg_loss_brl': -110.28, 'profit_factor': 1.2174, 'max_drawdown_pct': 10.98, 'expected_payoff': 7.71, 'on_tester_value': 460.87619}",COMPLETE
58,204.936475,2026-03-27 01:27:48.255994,2026-03-27 01:28:00.905171,0 days 00:00:12.649177,36,True,True,False,True,True,900,0.35,640,0.75,1.4500000000000002,50000.0,2,4,short,45,0.11,0.8500000000000001,0.45000000000000007,long,15,both,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 163, 'win_rate': 0.6933, 'net_profit_brl': 1225.0, 'avg_profit_brl': 7.52, 'avg_win_brl': 57.35, 'avg_loss_brl': -105.1, 'profit_factor': 1.2331, 'max_drawdown_pct': 5.98, 'expected_payoff': 7.52, 'on_tester_value': 204.936475}",COMPLETE
59,590.837782,2026-03-27 01:28:00.905231,2026-03-27 01:28:13.274755,0 days 00:00:12.369524,17,True,True,True,True,True,630,0.35,810,0.35000000000000003,0.75,42500.0,7,7,short,25,0.22,1.3,0.8,long,20,short,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 837, 'win_rate': 0.6535, 'net_profit_brl': 7975.0, 'avg_profit_brl': 9.53, 'avg_win_brl': 100.42, 'avg_loss_brl': -161.91, 'profit_factor': 1.1698, 'max_drawdown_pct': 13.5, 'expected_payoff': 9.53, 'on_tester_value': 590.837782}",COMPLETE
