number,value,datetime_start,datetime_complete,duration,params_ATR_Length,params_AllowFriday,params_AllowMonday,params_AllowThursday,params_AllowTuesday,params_AllowWednesday,params_EntryStart_TotalMinutes,params_FilterAsPercOfContractMARange,params_LastEntry_TotalMinutes,params_MinutesBeforeMarketCloseToClosePositions,params_NumDaysToConsiderPreviousContractMARange,params_RetracementLevel,params_SL_ATRMultiplier,params_TP_ATRMultiplier,user_attrs_train_metrics,state
0,-89.98304,2026-03-26 03:29:41.197449,2026-03-26 03:29:57.972209,0 days 00:00:16.774760,26,True,True,True,True,True,675,0.4,885,7,6,0.14,0.65,0.35,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1410, 'win_rate': 0.6404, 'net_profit_brl': -2780.0, 'avg_profit_brl': -1.97, 'avg_win_brl': 41.35, 'avg_loss_brl': -79.13, 'profit_factor': 0.9307, 'max_drawdown_pct': 30.89, 'expected_payoff': -1.97, 'on_tester_value': -89.98304}",COMPLETE
1,-21.202225,2026-03-26 03:29:57.972300,2026-03-26 03:30:14.535666,0 days 00:00:16.563366,19,False,False,True,False,True,645,0.2,760,2,4,0.21000000000000002,1.5,0.85,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 381, 'win_rate': 0.6273, 'net_profit_brl': -695.0, 'avg_profit_brl': -1.82, 'avg_win_brl': 103.1, 'avg_loss_brl': -178.42, 'profit_factor': 0.9726, 'max_drawdown_pct': 32.78, 'expected_payoff': -1.82, 'on_tester_value': -21.202225}",COMPLETE
2,345.3392,2026-03-26 03:30:14.535722,2026-03-26 03:30:31.189119,0 days 00:00:16.653397,38,False,True,False,True,False,785,0.15,700,2,5,0.11,1.4,0.65,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 337, 'win_rate': 0.73, 'net_profit_brl': 4040.0, 'avg_profit_brl': 11.99, 'avg_win_brl': 72.7, 'avg_loss_brl': -153.83, 'profit_factor': 1.2918, 'max_drawdown_pct': 11.7, 'expected_payoff': 11.99, 'on_tester_value': 345.3392}",COMPLETE
